states,state_po,elecvotes,candidate,candidatevotes,totalvotes
Alaska,AK,3,"BIDEN, JOSEPH R. JR",153778,359530
Alaska,AK,3,"JORGENSEN, JO",8897,359530
Alaska,AK,3,"TRUMP, DONALD J.",189951,359530
Alabama,AL,9,"BIDEN, JOSEPH R. JR",849624,2323282
Alabama,AL,9,"JORGENSEN, JO",25176,2323282
Alabama,AL,9,"TRUMP, DONALD J.",1441170,2323282
Arkansas,AR,6,"BIDEN, JOSEPH R. JR",423932,1219069
Arkansas,AR,6,"HAWKINS, HOWIE",2980,1219069
Arkansas,AR,6,"JORGENSEN, JO",13133,1219069
Arkansas,AR,6,"TRUMP, DONALD J.",760647,1219069
Arizona,AZ,11,"BIDEN, JOSEPH R. JR",1672143,3387326
Arizona,AZ,11,"HAWKINS, HOWIE",1557,3387326
Arizona,AZ,11,"JORGENSEN, JO",51465,3387326
Arizona,AZ,11,"TRUMP, DONALD J.",1661686,3387326
California,CA,55,"BIDEN, JOSEPH R. JR",11110250,17500881
California,CA,55,"HAWKINS, HOWIE",81029,17500881
California,CA,55,"JORGENSEN, JO",187895,17500881
California,CA,55,"TRUMP, DONALD J.",6006429,17500881
Colorado,CO,9,"BIDEN, JOSEPH R. JR",1804352,3279980
Colorado,CO,9,"HAWKINS, HOWIE",8986,3279980
Colorado,CO,9,"JORGENSEN, JO",52460,3279980
Colorado,CO,9,"TRUMP, DONALD J.",1364607,3279980
Connecticut,CT,7,"BIDEN, JOSEPH R. JR",1080831,1823857
Connecticut,CT,7,"HAWKINS, HOWIE",7538,1823857
Connecticut,CT,7,"JORGENSEN, JO",20230,1823857
Connecticut,CT,7,"TRUMP, DONALD J.",714717,1823857
District Of Columbia,DC,3,"BIDEN, JOSEPH R. JR",317323,344356
District Of Columbia,DC,3,"HAWKINS, HOWIE",1726,344356
District Of Columbia,DC,3,"JORGENSEN, JO",2036,344356
District Of Columbia,DC,3,"TRUMP, DONALD J.",18586,344356
Delaware,DE,3,"BIDEN, JOSEPH R. JR",296268,504346
Delaware,DE,3,"HAWKINS, HOWIE",2139,504346
Delaware,DE,3,"JORGENSEN, JO",5000,504346
Delaware,DE,3,"TRUMP, DONALD J.",200603,504346
Florida,FL,29,"BIDEN, JOSEPH R. JR",5297045,11067456
Florida,FL,29,"HAWKINS, HOWIE",14721,11067456
Florida,FL,29,"JORGENSEN, JO",70324,11067456
Florida,FL,29,"TRUMP, DONALD J.",5668731,11067456
Georgia,GA,16,"BIDEN, JOSEPH R. JR",2473633,4999960
Georgia,GA,16,"HAWKINS, HOWIE",1013,4999960
Georgia,GA,16,"JORGENSEN, JO",62229,4999960
Georgia,GA,16,"TRUMP, DONALD J.",2461854,4999960
Hawaii,HI,4,"BIDEN, JOSEPH R. JR",366130,579784
Hawaii,HI,4,"HAWKINS, HOWIE",3822,579784
Hawaii,HI,4,"JORGENSEN, JO",5539,579784
Hawaii,HI,4,"TRUMP, DONALD J.",196864,579784
Iowa,IA,6,"BIDEN, JOSEPH R. JR",759061,1700130
Iowa,IA,6,"HAWKINS, HOWIE",3075,1700130
Iowa,IA,6,"JORGENSEN, JO",19637,1700130
Iowa,IA,6,"TRUMP, DONALD J.",897672,1700130
Idaho,ID,4,"BIDEN, JOSEPH R. JR",287021,868014
Idaho,ID,4,"HAWKINS, HOWIE",407,868014
Idaho,ID,4,"JORGENSEN, JO",16404,868014
Idaho,ID,4,"TRUMP, DONALD J.",554119,868014
Illinois,IL,20,"BIDEN, JOSEPH R. JR",3471915,6033743
Illinois,IL,20,"HAWKINS, HOWIE",30494,6033743
Illinois,IL,20,"JORGENSEN, JO",66544,6033743
Illinois,IL,20,"TRUMP, DONALD J.",2446891,6033743
Indiana,IN,11,"BIDEN, JOSEPH R. JR",1242416,3033118
Indiana,IN,11,"HAWKINS, HOWIE",988,3033118
Indiana,IN,11,"JORGENSEN, JO",59232,3033118
Indiana,IN,11,"TRUMP, DONALD J.",1729519,3033118
Kansas,KS,6,"BIDEN, JOSEPH R. JR",570323,1372303
Kansas,KS,6,"JORGENSEN, JO",30574,1372303
Kansas,KS,6,"TRUMP, DONALD J.",771406,1372303
Kentucky,KY,8,"BIDEN, JOSEPH R. JR",772474,2136768
Kentucky,KY,8,"HAWKINS, HOWIE",716,2136768
Kentucky,KY,8,"JORGENSEN, JO",26234,2136768
Kentucky,KY,8,"TRUMP, DONALD J.",1326646,2136768
Louisiana,LA,8,"BIDEN, JOSEPH R. JR",856034,2148062
Louisiana,LA,8,"JORGENSEN, JO",21645,2148062
Louisiana,LA,8,"TRUMP, DONALD J.",1255776,2148062
Massachusetts,MA,11,"BIDEN, JOSEPH R. JR",2382202,3658005
Massachusetts,MA,11,"HAWKINS, HOWIE",18658,3658005
Massachusetts,MA,11,"JORGENSEN, JO",47013,3658005
Massachusetts,MA,11,"TRUMP, DONALD J.",1167202,3658005
Maryland,MD,10,"BIDEN, JOSEPH R. JR",1985023,3037030
Maryland,MD,10,"HAWKINS, HOWIE",15799,3037030
Maryland,MD,10,"JORGENSEN, JO",33488,3037030
Maryland,MD,10,"TRUMP, DONALD J.",976414,3037030
Maine,ME,4,"BIDEN, JOSEPH R. JR",435072,828305
Maine,ME,4,"HAWKINS, HOWIE",8230,828305
Maine,ME,4,"JORGENSEN, JO",14152,828305
Maine,ME,4,"TRUMP, DONALD J.",360737,828305
Michigan,MI,16,"BIDEN, JOSEPH R. JR",2804040,5539302
Michigan,MI,16,"HAWKINS, HOWIE",13718,5539302
Michigan,MI,16,"JORGENSEN, JO",60381,5539302
Michigan,MI,16,"TRUMP, DONALD J.",2649852,5539302
Minnesota,MN,10,"BIDEN, JOSEPH R. JR",1717077,3277171
Minnesota,MN,10,"HAWKINS, HOWIE",10033,3277171
Minnesota,MN,10,"JORGENSEN, JO",34976,3277171
Minnesota,MN,10,"TRUMP, DONALD J.",1484065,3277171
Missouri,MO,10,"BIDEN, JOSEPH R. JR",1253014,3025962
Missouri,MO,10,"HAWKINS, HOWIE",8283,3025962
Missouri,MO,10,"JORGENSEN, JO",41205,3025962
Missouri,MO,10,"TRUMP, DONALD J.",1718736,3025962
Mississippi,MS,6,"BIDEN, JOSEPH R. JR",539398,1313759
Mississippi,MS,6,"HAWKINS, HOWIE",1498,1313759
Mississippi,MS,6,"JORGENSEN, JO",8026,1313759
Mississippi,MS,6,"TRUMP, DONALD J.",756764,1313759
Montana,MT,3,"BIDEN, JOSEPH R. JR",244786,603674
Montana,MT,3,"JORGENSEN, JO",15252,603674
Montana,MT,3,"TRUMP, DONALD J.",343602,603674
North Carolina,NC,15,"BIDEN, JOSEPH R. JR",2684292,5524802
North Carolina,NC,15,"HAWKINS, HOWIE",12195,5524802
North Carolina,NC,15,"JORGENSEN, JO",48678,5524802
North Carolina,NC,15,"TRUMP, DONALD J.",2758773,5524802
North Dakota,ND,3,"BIDEN, JOSEPH R. JR",114902,361819
North Dakota,ND,3,"JORGENSEN, JO",9393,361819
North Dakota,ND,3,"TRUMP, DONALD J.",235595,361819
Nebraska,NE,5,"BIDEN, JOSEPH R. JR",374583,956383
Nebraska,NE,5,"JORGENSEN, JO",20283,956383
